category, device0, device1, 
V100.0k/E454.2k, 26, 5, 
V100.0k/E5.0m, 70, 49, 
V10.0k/E45.3k, 0, 1, 
V10.0k/E45.5k, 1, 1, 
V10.0k/E495.0k, 4, 3, 
V10.0k/E5.0m, 236, 77, 
V1.0k/E25.1k, 0, 1, 
V1.0k/E4.6k, 0, 1, 
V2.0k/E50.3k, 0, 1, 
V2.0k/E9.3k, 0, 1, 
V500.0k/E24.8m, 470, 326, 
V50.0k/E25.0m, 300, 268, 
V512.0 /E12.6k, 0, 1, 
V512.0 /E2.3k, 0, 2, 
V1.0k/E4.6k, 2, 15, 
V10.0k/E5.0m, 2546, 944, 
V10.0k/E5.0m, 2649, 1009, 
V100.0k/E454.2k, 262, 71, 
V100.0k/E454.2k, 262, 67, 
V100.0k/E454.2k, 264, 70, 
V100.0k/E454.2k, 271, 71, 
V100.0k/E454.2k, 282, 78, 
V10.0k/E495.0k, 59, 54, 
V10.0k/E495.0k, 61, 55, 
V100.0k/E5.0m, 988, 819, 
V100.0k/E5.0m, 1054, 828, 
V100.0k/E5.0m, 1004, 844, 
V100.0k/E5.0m, 990, 800, 
V100.0k/E5.0m, 929, 787, 
V100.0k/E5.0m, 1037, 891, 
V100.0k/E5.0m, 1046, 844, 
V100.0k/E5.0m, 989, 825, 
V100.0k/E5.0m, 1031, 882, 
V100.0k/E5.0m, 1091, 940, 
V100.0k/E5.0m, 1036, 872, 
V100.0k/E5.0m, 1042, 839, 
V50.0k/E25.0m, 4250, 5174, 
V50.0k/E25.0m, 0, 0, 
V50.0k/E25.0m, 0, 0, 
V50.0k/E25.0m, 0, 0, 
V100.0k/E454.2k, 242, 62, 
V10.0k/E45.3k, 8, 20, 
V10.0k/E45.5k, 10, 18, 
V10.0k/E495.0k, 59, 53, 
V1.0k/E25.1k, 3, 16, 
V1.0k/E4.6k, 2, 15, 
V2.0k/E50.3k, 8, 18, 
V2.0k/E9.3k, 3, 16, 
V512.0 /E12.6k, 2, 15, 
V512.0 /E2.3k, 2, 15, 
V100.0k/E454.2k, 287, 82, 
V10.0k/E45.3k, 7, 19, 
V10.0k/E45.5k, 9, 18, 
V10.0k/E495.0k, 60, 53, 
V1.0k/E25.1k, 4, 17, 
V1.0k/E4.6k, 2, 16, 
V2.0k/E50.3k, 7, 17, 
V2.0k/E9.3k, 2, 15, 
V512.0 /E12.6k, 2, 15, 
V512.0 /E2.3k, 1, 14, 
V500.0k/E24.8m, 6549, 5199, 
V50.0k/E25.0m, 4173, 4227, 
V500.0k/E24.8m, 6741, 5297, 
V50.0k/E25.0m, 4119, 4155, 
V10.0k/E5.0m, 2362, 877, 
V1.0k/E4.6k, 2, 21, 
V10.0k/E5.0m, 2640, 978, 
V10.0k/E5.0m, 2340, 874, 
V10.0k/E5.0m, 2467, 918, 
